example_id,search_term,campaign_context,ad_group_context,matched_keyword,location_context,metrics_context,expected_intent,expected_operation,negative_text_if_any,match_type_if_any,scope_if_any,reason,rule_ids,source,evidence_status,notes
RV-014,dallas european,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,dallas european,EXACT,campaign,City plus european lacks body or collision signal,POL-NO-SERVICE-SIGNAL-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no service signal
RV-015,factory finish crowley,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,factory finish crowley,EXACT,campaign,No clear body or collision signal,POL-NO-SERVICE-SIGNAL-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no service signal
RV-016,recon central,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,recon central,EXACT,campaign,Short ambiguous term with no body or collision signal,POL-NO-SERVICE-SIGNAL-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no service signal
RV-017,pick up and delivery service dallas,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,pick up and delivery service dallas,EXACT,campaign,Vague service query with no body or collision signal,POL-NO-SERVICE-SIGNAL-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no service signal
RV-018,mcdaniels longview,Account name P&C AUTOMOTIVE,,body shops,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,mcdaniels longview,EXACT,campaign,Bare name plus city with no body or collision wording,POL-NO-SERVICE-SIGNAL-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no service signal
RV-019,car broken,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car broken,EXACT,campaign,Vague symptom could be mechanical or roadside,POL-UNCLEAR-INTENT-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: unclear work type
RV-020,dfw hail response auto repair & collision,Account name P&C AUTOMOTIVE,,auto body shops dallas,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,dfw hail response auto repair & collision,EXACT,campaign,DFW acronym is a named business despite collision wording,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: DFW is acronym or competitor name
RV-021,az collision center,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,az collision center,EXACT,campaign,AZ reads as competitor initials not geography,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name or initials
RV-022,dealership collision center,Account name P&C AUTOMOTIVE,,automobile collision repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,dealership collision center,EXACT,campaign,Dealership collision center is a competing business,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-023,pro collision center dallas,Account name P&C AUTOMOTIVE,,car body collision repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,pro collision center dallas,EXACT,campaign,Adjective name plus collision center is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-024,service excellence collision,Account name P&C AUTOMOTIVE,,collision center,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,service excellence collision,EXACT,campaign,Name phrase plus collision is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-025,texas body works auto body & collision repair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,texas body works auto body & collision repair,EXACT,campaign,State name used as brand plus service wording is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-026,texas collision carrollton,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,texas collision carrollton,EXACT,campaign,Texas Collision is a named chain not generic geography,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-027,texas collision center dallas,Account name P&C AUTOMOTIVE,,collision center,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,texas collision center dallas,EXACT,campaign,Texas Collision Center is a named chain,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-028,texas collision centers carrollton,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,texas collision centers carrollton,EXACT,campaign,Texas Collision Centers is a named chain,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-029,texas collision centers dallas,Account name P&C AUTOMOTIVE,,collision center,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,texas collision centers dallas,EXACT,campaign,Texas Collision Centers is a named chain,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-030,texas collision mansfield,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,texas collision mansfield,EXACT,campaign,Texas Collision is a named chain,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-031,texas body works,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,texas body works,EXACT,campaign,State-as-brand body works is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-032,texas collison,Account name P&C AUTOMOTIVE,,auto body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,texas collison,EXACT,campaign,Misspelled Texas Collision chain is still a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-033,car body lab dallas,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car body lab dallas,EXACT,campaign,Distinctive name plus body wording is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-034,carzone irving,Account name P&C AUTOMOTIVE,,auto body and auto repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,carzone irving,EXACT,campaign,Distinctive name plus city is a named business,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-035,champion body shop,Account name P&C AUTOMOTIVE,,collision center,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,champion body shop,EXACT,campaign,Adjective name plus body shop is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-036,dmv auto body,Account name P&C AUTOMOTIVE,,collision center,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,dmv auto body,EXACT,campaign,Acronym plus auto body is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-037,ewing body shop,Account name P&C AUTOMOTIVE,,collision center,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,ewing body shop,EXACT,campaign,Place-or-name token plus body shop treated as competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-038,golden car body,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,golden car body,EXACT,campaign,Adjective name plus car body is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-039,hurst auto body,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,hurst auto body,EXACT,campaign,Place-or-name ambiguity resolved as competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-040,magic touch lewisville texas,Account name P&C AUTOMOTIVE,,collision repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,magic touch lewisville texas,EXACT,campaign,Distinctive name phrase plus city is a named business,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-041,malibu body shop dallas,Account name P&C AUTOMOTIVE,,Body Shop Dallas,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,malibu body shop dallas,EXACT,campaign,Make-model plus body shop plus city reads as named shop,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-042,premier auto body dallas,Account name P&C AUTOMOTIVE,,auto body repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,premier auto body dallas,EXACT,campaign,Superlative name plus auto body plus city is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-043,proper automotive,Account name P&C AUTOMOTIVE,,auto body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,proper automotive,EXACT,campaign,Distinctive name plus automotive is a named business,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-044,quality colors dallas,Account name P&C AUTOMOTIVE,,auto body repair shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,quality colors dallas,EXACT,campaign,Name phrase plus city is a named business,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-045,rg auto care,Account name P&C AUTOMOTIVE,,auto collision and repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,rg auto care,EXACT,campaign,Initials plus auto service wording is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-046,royalty auto,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,royalty auto,EXACT,campaign,Distinctive name plus auto is a named business,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-047,the body shop mckinney,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,the body shop mckinney,EXACT,campaign,Brand-style name plus city is a named business,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-048,thebodyshop com,Account name P&C AUTOMOTIVE,,body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,thebodyshop com,EXACT,campaign,Brand plus domain suffix is a website query,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: space then com is the giveaway
RV-049,universal collision,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,universal collision,EXACT,campaign,Adjective name plus collision is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-050,value collision,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,value collision,EXACT,campaign,Adjective name plus collision is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-051,xpel dallas,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,xpel dallas,EXACT,campaign,Distinctive brand plus city is a named business,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-052,dallas pro bodyshop,Account name P&C AUTOMOTIVE,,Body Shop Dallas,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,dallas pro bodyshop,EXACT,campaign,Name plus bodyshop is a named competitor,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-053,the body shop collision repair photos,Account name P&C AUTOMOTIVE,,car auto body repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,the body shop collision repair photos,EXACT,campaign,Brand-style name query with photos intent is a named business,POL-COMPETITOR-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-054,autobody scratch repair,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,autobody scratch repair,EXACT,campaign,Scratch-only small job even with autobody wording,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no small scratch and dent jobs
RV-055,cost to repair car scratch,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,cost to repair car scratch,EXACT,campaign,Scratch-only small job price query,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no small scratch and dent jobs
RV-056,dent spot carrollton,Account name P&C AUTOMOTIVE,,auto body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,dent spot carrollton,EXACT,campaign,Dent-only small job intent,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no small scratch and dent jobs
RV-057,dent with paint damage cost,Account name P&C AUTOMOTIVE,,auto body service,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,dent with paint damage cost,EXACT,campaign,Dent-only cosmetic damage price query,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no small scratch and dent jobs
RV-058,hole in a car,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,hole in a car,EXACT,campaign,Small isolated damage intent not a collision job,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no small scratch and dent jobs
RV-059,minor body repair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,minor body repair,EXACT,campaign,Minor qualifier marks a small job even with body wording,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no small scratch and dent jobs
RV-060,automobile body repairing & painting irving tx,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,automobile body repairing & painting irving tx,EXACT,campaign,Any paint mention is negative per owner ROI lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-061,automobile body repairing & painting kelly usa tx,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,automobile body repairing & painting kelly usa tx,EXACT,campaign,Any paint mention is negative per owner ROI lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-062,can you fix peeling paint on car,Account name P&C AUTOMOTIVE,,vehicle damage repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,can you fix peeling paint on car,EXACT,campaign,Paint-only informational query is negative,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-063,carrollton paint and body,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,carrollton paint and body,EXACT,campaign,Paint and body phrasing is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-064,city auto body and paint,Account name P&C AUTOMOTIVE,,collision center,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,city auto body and paint,EXACT,campaign,Paint mention is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-065,cost to paint a car,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,cost to paint a car,EXACT,campaign,Paint price query is negative,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-066,hollywood paint and body,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,hollywood paint and body,EXACT,campaign,Paint and body phrasing is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-067,international paint and body shop,Account name P&C AUTOMOTIVE,,body shops,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,international paint and body shop,EXACT,campaign,Paint and body shop phrasing is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-068,paint and body shop near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,paint and body shop near me,EXACT,campaign,Paint and body phrasing is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-069,paint and body shops,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,paint and body shops,EXACT,campaign,Paint and body phrasing is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-070,paint and body shops in mckinney tx,Account name P&C AUTOMOTIVE,,body shops,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,paint and body shops in mckinney tx,EXACT,campaign,Paint and body phrasing is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-071,paint and body shops in my area,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,paint and body shops in my area,EXACT,campaign,Paint and body phrasing is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-072,paint and bodyshop near me,Account name P&C AUTOMOTIVE,,car body collision repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,paint and bodyshop near me,EXACT,campaign,Paint and body phrasing is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-073,paint and bodywork near me,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,paint and bodywork near me,EXACT,campaign,Paint mention is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-074,paint body shop near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,paint body shop near me,EXACT,campaign,Paint body shop phrasing is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-075,paint car shop near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,paint car shop near me,EXACT,campaign,Paint service query is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-076,paint shops near me,Account name P&C AUTOMOTIVE,,auto body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,paint shops near me,EXACT,campaign,Paint shop query is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-077,painters in dallas tx,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,painters in dallas tx,EXACT,campaign,Painter demand is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-078,who paint cars,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,who paint cars,EXACT,campaign,Car painting query is negative per owner lock,POL-COSMETIC-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: paint mentions are negative
RV-079,automotive frame repair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,automotive frame repair,EXACT,campaign,Named-part repair scope without hard crash wording,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-080,body shop for car door repair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,body shop for car door repair,EXACT,campaign,Door part repair scope is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-081,bumper clip repair cost,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,bumper clip repair cost,EXACT,campaign,Bumper part repair price query is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
