example_id,search_term,campaign_context,ad_group_context,matched_keyword,location_context,metrics_context,expected_intent,expected_operation,negative_text_if_any,match_type_if_any,scope_if_any,reason,rule_ids,source,evidence_status,notes
EX-012,auto body works,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Same family,POL-BODYWORK-KEEP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
EX-013,dent repair,,,,,,UNCERTAIN,HUMAN_REVIEW,,,,Owner: minor dents generally not desired AND single-word dent must not auto-decide. Code DENT_MINOR would AUTO_NEGATIVE.,DENT_MINOR;POL-COLLISION-KEEP,This conversation confirmed context rule + DENT_MINOR code 349-357,UNRESOLVED,Minimal pair with EX-014. Conservative rebuild: HUMAN_REVIEW until owner locks cosmetic-only auto-apply.
EX-014,major collision with frame damage and dents,,,,,,QUALIFIED,KEEP,,,,Owner: serious collision must not be lost because of dents. Code keeps DENT_MINOR/FRAME because exception collision is present.,DENT_MINOR;FRAME_NON_COLLISION;POL-COLLISION-KEEP,This conversation; daily script exceptions 357 and 454-456,SYNTHESIZED_FROM_EXPLICIT_RULE,"If collision token were absent, code would still exclude via dent. That variant is UNRESOLVED."
EX-015,major accident with frame damage and dents,,,,,,QUALIFIED,KEEP,,,,Same business intent as EX-014; accident is also a DENT_MINOR exception so code likely KEEP those rules.,DENT_MINOR;FRAME_NON_COLLISION,Daily script exceptions include accident,SYNTHESIZED_FROM_EXPLICIT_RULE,Other rules (YEAR_TOKEN etc.) not present here.
EX-016,accident bumper repair,,,,,,QUALIFIED,KEEP,,,,Documented exception example for BUMPER_MINOR,BUMPER_MINOR,docs/Read this for the Search negatives sweeper - auto-add review and remove on the spoke.md line 116; HTML explained ~541,SYNTHESIZED_FROM_EXPLICIT_RULE,
EX-017,bumper scuff fix,,,,,,DISQUALIFIED,UNRESOLVED,bumper scuff fix,EXACT,campaign,HTML walkthrough presents as junk BUMPER_MINOR. This conversation says bumper-only generally not desired but bumper word alone must not auto-decide. Operation not re-locked.,BUMPER_MINOR,Standalone Negatives Sweeper explained.html ~407,UNRESOLVED,EXISTING_CODE would exclude. Not a user gold label.
EX-018,aaa auto repair,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,aaa auto repair,EXACT,campaign,AAA mechanical junk must classify exclude,GENERIC_CAR_REPAIR,test-negative-sweeper-contract.js 113-116,EXISTING_TEST_EXPECTATION,Test encodes CURRENT CODE. Not automatically the conservative policy.
EX-019,aaa insurance auto repair,,,,,,PROTECTED,KEEP,,,,Genuine AAA insurance intent protected,SEED_INSURER aaa insurance,test 117-120,EXISTING_TEST_EXPECTATION,Test encodes CURRENT CODE. Not automatically the conservative policy.
EX-020,aaa collision auto repair,,,,,,PROTECTED,KEEP,,,,Genuine AAA collision intent protected,aaa collision,test 122-126,EXISTING_TEST_EXPECTATION,Test encodes CURRENT CODE. Not automatically the conservative policy.
EX-021,aaa collision center,,,,,,PROTECTED,KEEP,,,,accountProtection aaa collision,aaa collision,test 127-130,EXISTING_TEST_EXPECTATION,Test encodes CURRENT CODE. Not automatically the conservative policy.
EX-022,dallas auto body shop,,,,,,QUALIFIED,KEEP,,,,City-only body-shop intent must not become named competitor,NAMED_LOCAL_SHOP must not fire,test 132-136,EXISTING_TEST_EXPECTATION,Test encodes CURRENT CODE. Not automatically the conservative policy.
EX-023,collision repair dallas,,,,,,QUALIFIED,KEEP,,,,City-only collision intent keep,isGeoBodyShopIntent_,test 138-141,EXISTING_TEST_EXPECTATION,Test encodes CURRENT CODE. Not automatically the conservative policy.
EX-024,car,,,,,,QUALIFIED,KEEP,,,,LOW_INTENT_AUTO_GEO never on bare car,LOW_INTENT_AUTO_GEO,test 142-146,EXISTING_TEST_EXPECTATION,Test encodes CURRENT CODE. Not automatically the conservative policy.
EX-025,car near me,,,,,,QUALIFIED,KEEP,,,,LOW_INTENT_AUTO_GEO requires named place not near me,LOW_INTENT_AUTO_GEO,test 147-150,EXISTING_TEST_EXPECTATION,Test encodes CURRENT CODE. Not automatically the conservative policy.
EX-026,auto arena body shop,Account name Auto Arena Body Shop,,,,,PROTECTED,KEEP,,,,Own account name protected,LOCAL_COMPETITOR vs account name,test 100-105,EXISTING_TEST_EXPECTATION,Test passes accountName Auto Arena Body Shop into evaluateRules_.
EX-027,auto arena body shop,Unrelated account name,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,auto arena body shop,EXACT,campaign,Same phrase is competitor in another account,LOCAL_COMPETITOR seed auto arena body shop,test 106-110,EXISTING_TEST_EXPECTATION,Test expectation is code-correctness not business gold. Cross-account competitor may still be valid.
EX-028,aaa auto repair,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,aaa auto repair,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-029,ames collision center,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,ames collision center,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-030,auto arena body shop,,,,,,UNRESOLVED,KEEP,,,,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,UNRESOLVED,Same string as own-brand protect vs competitor. Account-dependent. Owner listed it as a miss (wanted add) AND tests require keep on own account.
EX-031,auto salvage yards with online inventory,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,auto salvage yards with online inventory,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-032,automobile body repairing & painting scarsdale ny,,,,,,UNRESOLVED,HUMAN_REVIEW,,,,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,UNRESOLVED,Owner miss list wanted add; 2026-08-25 body-work keep policy and paint-and-body contradiction. Do not auto-apply.
EX-033,body works car near me,,,,,,UNRESOLVED,HUMAN_REVIEW,,,,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,UNRESOLVED,Owner miss list wanted add; 2026-08-25 body-work keep policy and paint-and-body contradiction. Do not auto-apply.
EX-034,car buffing near me,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car buffing near me,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-035,car clear coat repair,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car clear coat repair,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-036,car coloring price,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car coloring price,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-037,car in dallas,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car in dallas,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-038,car painting dallas,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car painting dallas,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-039,car rear bumper loose,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car rear bumper loose,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-040,clickmechanic,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,clickmechanic,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-041,collision consultants,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,collision consultants,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-042,custom body shop near me,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,custom body shop near me,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-043,dashboard repair,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,dashboard repair,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-044,dent mavericks dallas,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,dent mavericks dallas,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-045,east coast auto salvage,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,east coast auto salvage,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-046,engine repair dallas,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,engine repair dallas,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-047,fast car automotive,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,fast car automotive,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-048,fix cars near me,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,fix cars near me,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-049,fix paint on car cost,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,fix paint on car cost,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-050,fix small dent in car,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,fix small dent in car,EXACT,campaign,Owner 2026-08-24 listed as obvious junk that the script missed that morning.,various; later encoded in test suppliedTerms for many of these,Conversation 0715bce9 2026-08-24 missed-term list; test-negative-sweeper-contract.js suppliedTerms 57-81,EXPLICIT_USER_LABEL,Owner 2026-08-24: should have been added. Next day owner said body-work-like terms must NOT be added. auto arena body shop is KEEP on own account (EX-026). body works car near me is now in KEEP-body-work plan (UNRESOLVED vs this miss list). automobile body repairing & painting may be QUALIFIED body shop (UNRESOLVED).
EX-051,tints near me,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,tints near me,EXACT,campaign,Contract matcher: containsPhrase_(tint) is true; suppliedTerms also expects shouldExclude for some.,stem matcher; TINT or BUMPER_MINOR or PAINT_MINOR or GENERIC_CAR_REPAIR,test-negative-sweeper-contract.js 153-167,EXISTING_TEST_EXPECTATION,Stem matching is code behavior. Conservative policy may still want HUMAN_REVIEW for bumper/paint tokens.
EX-052,bumpers loose,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,bumpers loose,EXACT,campaign,Contract matcher: containsPhrase_(bumper) is true; suppliedTerms also expects shouldExclude for some.,stem matcher; TINT or BUMPER_MINOR or PAINT_MINOR or GENERIC_CAR_REPAIR,test-negative-sweeper-contract.js 153-167,EXISTING_TEST_EXPECTATION,Stem matching is code behavior. Conservative policy may still want HUMAN_REVIEW for bumper/paint tokens.
EX-053,repainting cost,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,repainting cost,EXACT,campaign,Contract matcher: containsPhrase_(paint) is true; suppliedTerms also expects shouldExclude for some.,stem matcher; TINT or BUMPER_MINOR or PAINT_MINOR or GENERIC_CAR_REPAIR,test-negative-sweeper-contract.js 153-167,EXISTING_TEST_EXPECTATION,Stem matching is code behavior. Conservative policy may still want HUMAN_REVIEW for bumper/paint tokens.
EX-054,fix cars near me,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,fix cars near me,EXACT,campaign,Contract matcher: containsPhrase_(fix car) is true; suppliedTerms also expects shouldExclude for some.,stem matcher; TINT or BUMPER_MINOR or PAINT_MINOR or GENERIC_CAR_REPAIR,test-negative-sweeper-contract.js 153-167,EXISTING_TEST_EXPECTATION,Stem matching is code behavior. Conservative policy may still want HUMAN_REVIEW for bumper/paint tokens.
EX-055,cheap auto body near me,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,cheap auto body near me,EXACT,campaign,CHEAP even with auto body,CHEAP,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-056,free estimate body shop,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,free estimate body shop,EXACT,campaign,Owner previously locked block free estimate; this conversation did not re-lock,ESTIMATE_OR_QUOTE,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-057,free quote collision repair,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,free quote collision repair,EXACT,campaign,Collision does not spare ESTIMATE_OR_QUOTE,ESTIMATE_OR_QUOTE,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-058,collision repair payment plan,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,collision repair payment plan,EXACT,campaign,Documented as intended block,PAYMENT_OR_FINANCING,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-059,oil change near me,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,oil change near me,EXACT,campaign,HTML walkthrough junk example,MECHANICAL_REPAIR,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-060,paintless dent repair,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,paintless dent repair,EXACT,campaign,No collision exception,PAINTLESS_DENT,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-061,dent repair near me,,,,,,UNCERTAIN,HUMAN_REVIEW,,,,HTML says block; this conversation forbids single-word dent auto-decide.,DENT_MINOR,HTML ~406 plus this conversation,UNRESOLVED,
EX-062,car repair near me,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car repair near me,EXACT,campaign,HTML walkthrough junk example,GENERIC_CAR_REPAIR,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-063,honda accord collision insurance claim,,,,,,QUALIFIED,KEEP,,,,Docs keep example,,Standalone Negatives Sweeper explained.html,SYNTHESIZED_FROM_EXPLICIT_RULE,
EX-064,a1 body shop,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,a1 body shop,EXACT,campaign,Aggressive short token a1,LOW_VALUE_COMPETITOR,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
